,link,yt_id,title,transcript,views,time_uploaded,tokens,author,data_import_date
74,https://www.youtube.com/shorts/4DVt9CgThog,x,Joe rogan: Elon Musk has a cure for everything                 #joerogan #elonmusk,x, 998 194  – ó  ,96.0,x,https://www.youtube.com/@motiversityespanol,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
75,https://www.youtube.com/watch?v=n3V6KpBzzzI,x,"Elon Musk: ""My 2023 Tesla Pi Phone Will Destroy The Entire Phone Industry""",x, 54 084 ,96.16666666666667,x,https://www.youtube.com/@TheDamageReport,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
76,https://www.youtube.com/watch?v=pwC2lCig6MY,x,Elon Musk set to face trail over his Tesla tweets in 2018,x, 25 964 ,9.066666666666666,x,https://www.youtube.com/@Rogan_experience,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
77,https://www.youtube.com/watch?v=VlMGpvTAWJg,x,Elon Musk Just Revealed Disturbing Details Live on TV,x, 109 052 ,144.26666666666668,x,https://www.youtube.com/@ElonMuskZone,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
78,https://www.youtube.com/watch?v=yWOJjqClFmg,x,Elon Musk Just Revealed NASA's TERRIFYING Discovery On Mars,x, 1 762 513 ,1440.4333333333334,x,https://www.youtube.com/@FoxNews,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
79,https://www.youtube.com/watch?v=8pqwoI1eWag,x,Elon Musk Best SAVAGE Moments in 8 Minutes Straight,x, 939 929 ,720.1333333333333,x,https://www.youtube.com/@ElonMuskZone,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
80,https://www.youtube.com/watch?v=IOrFCUadfQY,x,Elon Musk Plans For Mars RUINED By This Crazy Discovery From NASA,x, 24 252 ,192.18333333333334,x,https://www.youtube.com/@futureunity5129,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
81,https://www.youtube.com/watch?v=41erqTjsj1M,x,Elon Musk CORNERED After Undeniable Video Evidence Revealed,x, 101 977 ,72.1,x,https://www.youtube.com/@smartsenseofficial,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
82,https://www.youtube.com/watch?v=pDYQ5rz1OSA,x,Elon Musk JUST Exposed Apple And The iPhone,x, 64 789 ,120.16666666666667,x,https://www.youtube.com/@ElonMuskZone,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
83,https://www.youtube.com/watch?v=tCfn8lS4L2A,x,Elon Musk Just Did The Unthinkable (This Changes Everything),x, 62 893 ,96.13333333333334,x,https://www.youtube.com/@TheDamageReport,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
